Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Bothriolepis_evaldi,Placodermi,Frasnian,,,,,17,,Luksevics 2001,,,,,,,,,,,,,,,,
Bothriolepis_leptocheira,Placodermi,Frasnian-Famennian,,,,,82,,Luksevics 2001,,,,,,,,,,,,,,,,
Bothriolepis_canadensis,Placodermi,Frasnian,,,,,46,,Werdelin & Long 1986,,,,,,,,,,,,,,,,
Bothriolepis_favosa,Placodermi,Frasnian,,,,,56,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_hayi,Placodermi,Frasnian-Famennian,,,,,51,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_major,Placodermi,Frasnian,,,,,41,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_obesa,Placodermi,Frasnian-Famennian,,,,,66,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_taylori,Placodermi,Frasnian,,,,,61,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_wilsoni,Placodermi,Frasnian-Famennian,,,,,72,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_sanzarensis,Placodermi,Frasnian,,,,,76,,Moloshnikov 2010,,,,,,,,,,,,,,,,
Bothriolepis_volongensis,Placodermi,Frasnian,,,,,48,,Denison 1978,,,,,,,,,,,,,,,,
Asterolepis_chadwicki,Placodermi,Frasnian,,,,,57,,Denison 1978,,,,,,,,,,,,,,,,
Asterolepis_savesoederberghi,Placodermi,Frasnian,,,,,49,,Denison 1978,,,,,,,,,,,,,,,,
Asterolepis_maxima,Placodermi,Frasnian-Famennian,,,,,98,,Denison 1978,,,,,,,,,,,,,,,,
Neophlyctenius_sherwoodi,Placodermi,Frasnian,,,,,50,,Denison 1978,,,,,,,,,,,,,,,,
Grossilepis_tuberculata,Placodermi,Frasnian,,,,,26,,Luksevics 2001,,,,,,,,,,,,,,,,
Walterosteus_lelievrei,Placodermi,Frasnian,,,,,29,,Ruecklin 2011,,,,,,,,,,,,,,,,
Omalosteus_krutoensis,Placodermi,Frasnian,,,,,65,,Zakharenko 2007,,,,,,,,,,,,,,,,
Materpiscis_attenboroughi,Placodermi,Frasnian,,,,,18.7,,Long et al. 2009,,,,,,,,,,,,,,,,
Mcnamaraspis_kaprios,Placodermi,Frasnian,,,,,35,,Long and Trinajstic 2010,,,,,,,,,,,,,,,,
Simosteus_tuberculatus,Placodermi,Frasnian,,,,,68,,Dennis & Miles 1982,,,,,,,,,,,,,,,,
Compagopiscis_croucheri,Placodermi,Frasnian,,,,,36,,Gardiner & Miles 1994,,,,,,,,,,,,,,,,
Golshanichthys_asiatica,Placodermi,Frasnian,,,,,140,,Long 1987,,,,,,,,,,,,,,,,
Gogopiscus_gracilis,Placodermi,Frasnian,,,,,35,,Gardiner & Miles 1994,,,,,,,,,,,,,,,,
Gogosteus_sarahae,Placodermi,Frasnian,,,,,44,,Long 1994,,,,,,,,,,,,,,,,
Pinguosteus_thulborni,Placodermi,Frasnian,,,,,48,,Long 1990,,,,,,,,,,,,,,,,
Stenosteus_pertensis,Placodermi,Frasnian,,,,,73,,Denison 1978,,,,,,,,,,,,,,,,
Changyanophyton_hupeiense,Placodermi,Frasnian,,,,,30,,Denison 1978,,,,,,,,,,,,,,,,
Placolepis_budawangensis,Placodermi,Frasnian,,,,,8.3,,Young et al. 2000,,,,,,,,,,,,,,,,
Deirosteus_abbreviata,Placodermi,Frasnian,,,,,190,,Denison 1978,,,,,,,,,,,,,,,,
Pambulaspis_cobandraensis,Placodermi,Frasnian,,,,,44,,Young 1983,,,,,,,,,,,,,,,,
Cosmacanthus_malcolmsoni,Placodermi,Frasnian,,,,,150,,Newman 2005,,,,,,,,,,,,,,,,
Draconichthys_elegans,Placodermi,Frasnian,,,,,64,,Ruecklin 2011,,,,,,,,,,,,,,,,
Dinicthydae_indet.,Placodermi,Frasnian,,,,,68,,Lelievre 1981,,,,,,,,,,,,,,,,
