Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Allenypterus_montanus,Sarcopterygii,Serpukhovian,,,,,15,,Lund & Grogan 2005,,,,,,,,,,,,,,,,
Caridosuctor_populosum,Sarcopterygii,Serpukhovian,,,,,25,,Lund & Grogan 2005,,,,,,,,,,,,,,,,
Hadronector_donbairdi,Sarcopterygii,Serpukhovian,,,,,12,,Lund & Grogan 2005,,,,,,,,,,,,,,,,
Lochmocerceus_aciculodontus,Sarcopterygii,Serpukhovian,,,,,10,,Lund & Lund 1984,,,,,,,,,,,,,,,,
Polyosterohynchus_beargulchensis,Sarcopterygii,Serpukhovian,,,,,15,,Lund & Grogan 2005,,,,,,,,,,,,,,,,
Rhizodopsis_sauroides,Sarcopterygii,Serpukhovian,,,,,30,,Moy-Thomas 1971,,,,,,,,,,,,,,,,
Archichthys_sulcidens,Sarcopterygii,Serpukhovian,,,,,91,,Jeffery 2006,,,,,,,,,,,,,,,,
Unnamed_sp.,Sarcopterygii,Serpukhovian,,,,,400,,Garcia et al. 2006,,,,,,,,,,,,,,,,
Panderichthys_rhombolepis,Tetrapoda,Givetian-Frasnian,,,,,100,,Ahlberg & Clack 1996,,,,,,,,,,,,,,,,
Tiktaalik_roseae,Tetrapoda,Givetian-Frasnian,,,,,100,,Daeshler et al. 2006,,,,,,,,,,,,,,,,
Parapanderichthys_stolbovi,Tetrapoda,Frasnian,,,,,150,,Vorobyeva 1977,,,,,,,,,,,,,,,,
Elginerpeton_pancheni,Tetrapoda,Frasnian,,,,,230,,Ahlberg 1995,,,,,,,,,,,,,,,,
Acanthostega_gunnari,Tetrapoda,Famennian,,,,,70,,Clack 2002,,,,,,,,,,,,,,,,
Ichthyostega_stensoei,Tetrapoda,Famennian,,,,,130,,Blom 2005,,,,,,,,,,,,,,,,
Ichthyostega_watsoni,Tetrapoda,Famennian,,,,,56,,Blom 2005,,,,,,,,,,,,,,,,
Ichthyostega_eigili,Tetrapoda,Famennian,,,,,92,,Blom 2005,,,,,,,,,,,,,,,,
Metaxygnathus_denticulus,Tetrapoda,Famennian,,,,,70,,Campbell & Bell 1977,,,,,,,,,,,,,,,,
Densignathus_rowei,Tetrapoda,Famennian,,,,,100,,Ahlberg et al. 2005,,,,,,,,,,,,,,,,
Ventastega_curonica,Tetrapoda,Famennian,,,,,110,,Ahlberg & Clack 2008,,,,,,,,,,,,,,,,
Ymeria_denticulata,Tetrapoda,Famennian,,,,,70,,Clack et al. 2012,,,,,,,,,,,,,,,,
Tulerpeton_curtum,Tetrapoda,Famennian,,,,,90,,Lebedev & Coates 1995,,,,,,,,,,,,,,,,
Pederpes_finneyae,Tetrapoda,Tournaisian,,,,,65,,Clack & Finney 2005,,,,,,,,,,,,,,,,
Occidens_portlocki,Tetrapoda,Tournaisian,,,,,100,,Clack & Ahlberg 2004,,,,,,,,,,,,,,,,
Crassigyrinus_sp.,Tetrapoda,Tournaisian,,,,,120,,Smithson et al.  2012,,,,,,,,,,,,,,,,
Small tetrapod_indet.,Tetrapoda,Tournaisian,,,,,40,,Smithson et al.  2012,,,,,,,,,,,,,,,,
Ribbo_sp.,Tetrapoda,Tournaisian,,,,,85,,Smithson et al.  2012,,,,,,,,,,,,,,,,
Lethiscus_stocki,Tetrapoda,Visean,,,,,15,,Wellstead 1982,,,,,,,,,,,,,,,,
Casineria_kiddi,Tetrapoda,Visean,,,,,10,,Paton et al. 1999,,,,,,,,,,,,,,,,
Ossinodus_pueri,Tetrapoda,Visean,,,,,150,,Warren 2007,,,,,,,,,,,,,,,,
Palaeomolgophis_scoticus,Tetrapoda,Visean,,,,,15,,Brough & Brough 1967,,,,,,,,,,,,,,,,
Whatcheeria_deltae,Tetrapoda,Visean,,,,,100,,Lombard & Bolt 1995,,,,,,,,,,,,,,,,
Crassigyrinus_scoticus,Tetrapoda,Visean-Serpukhovian,,,,,180,,Panchen 1985,,,,,,,,,,,,,,,,
Adelogyrinus_simnorhynchus,Tetrapoda,Visean,,,,,23,,Brough & Brough 1967,,,,,,,,,,,,,,,,
Greererpeton_burkemorani,Tetrapoda,Visean-Serpukhovian,,,,,140,,Godfrey 1989,,,,,,,,,,,,,,,,
Balanerpeton_woodi,Tetrapoda,Visean,,,,,50,,Clack 2002,,,,,,,,,,,,,,,,
Eldeceeon_rolfei,Tetrapoda,Visean,,,,,35,,Clack 2002,,,,,,,,,,,,,,,,
Silvanerpeton_miripedes,Tetrapoda,Visean,,,,,40,,Clack 2002,,,,,,,,,,,,,,,,
Westlothiana_lizzae,Tetrapoda,Visean,,,,,20,,Clack 2002,,,,,,,,,,,,,,,,
Loxomma_sp.,Tetrapoda,Visean-Serpukhovian,,,,,27,,Clack 2002,,,,,,,,,,,,,,,,
Acherontiscus_caledoniae,Tetrapoda,Visean-Serpukhovian,,,,,16,,Carroll 1969,,,,,,,,,,,,,,,,
Antlerpeton_clarkii,Tetrapoda,Visean,,,,,21,,Thomson et al. 1998,,,,,,,,,,,,,,,,
Eucritta_melanolimnetes,Tetrapoda,Visean,,,,,47,,Clack 1998,,,,,,,,,,,,,,,,
Ophiderepeton_nanum,Tetrapoda,Visean,,,,,13,,Boyd 1982,,,,,,,,,,,,,,,,
Dolichopareias_disjectus,Tetrapoda,Visean,,,,,26,,Brough & Brough 1967,,,,,,,,,,,,,,,,
Deltaherpeton_hiemstrae,Tetrapoda,Visean-Serpukhovian,,,,,82,,Bolt & Lombard 2010,,,,,,,,,,,,,,,,
Eoherpeton_watsoni,Tetrapoda,Visean-Serpukhovian,,,,,87,,Smithson 1985,,,,,,,,,,,,,,,,
Doragnathus_woodi,Tetrapoda,Visean-Serpukhovian,,,,,70,,Smithson 1980,,,,,,,,,,,,,,,,
Caerorhachis_bairdi,Tetrapoda,Serpukhovian,,,,,30,,Holmes & Carroll 1977,,,,,,,,,,,,,,,,
Colosteid_indet.,Tetrapoda,Serpukhovian,,,,,60,,Garcia et al. 2006,,,,,,,,,,,,,,,,
Adelospondylus_watsoni,Tetrapoda,Serpukhovian,,,,,20,,Carroll 1967,,,,,,,,,,,,,,,,
Utaherpeton_franklini,Tetrapoda,Serpukhovian,,,,,5,,Carroll et al. 1991,,,,,,,,,,,,,,,,
Proterogyrinus_sp.,Tetrapoda,Serpukhovian,,,,,250,,Clack 2002,,,,,,,,,,,,,,,,
Adelogyrinus_sp.,Tetrapoda,Serpukhovian,,,,,50,,Clack 2002,,,,,,,,,,,,,,,,
Spathicephalus_mirus,Tetrapoda,Serpukhovian,,,,,100,,Garcia et al. 2006,,,,,,,,,,,,,,,,
